year,brand,teams,champions,top4,top8,top16,avg_final_position,median_final_position,teams_with_position,total_teams,total_champions,total_top4,total_top8,total_top16,share_teams,share_champions,share_top4,share_top8,share_top16
2002,adidas,6,0,1,2,3,13.833333333333334,13.0,6,32,1,4,8,16,0.1875,0.0,0.25,0.25,0.1875
2002,atlética,1,0,0,0,0,24.0,24.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2002,hummel,1,0,0,0,1,10.0,10.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2002,joma,1,0,0,0,0,19.0,19.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2002,kappa,1,0,0,0,1,15.0,15.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2002,l-sporto,1,0,0,0,0,26.0,26.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2002,le coq sportif,2,0,0,1,1,18.0,18.0,2,32,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
2002,nike,9,1,2,3,4,17.11111111111111,21.0,9,32,1,4,8,16,0.28125,1.0,0.5,0.375,0.25
2002,puma,2,0,0,0,1,18.0,18.0,2,32,1,4,8,16,0.0625,0.0,0.0,0.0,0.0625
2002,reebok,1,0,1,1,1,4.0,4.0,1,32,1,4,8,16,0.03125,0.0,0.25,0.125,0.0625
2002,uhlsport,1,0,0,0,0,30.0,30.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2002,umbro,5,0,0,1,4,14.6,12.0,5,32,1,4,8,16,0.15625,0.0,0.0,0.125,0.25
2002,,1,0,0,0,0,18.0,18.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2006,adidas,5,0,1,2,4,12.2,9.0,5,32,1,4,8,16,0.15625,0.0,0.25,0.25,0.25
2006,joma,1,0,0,0,0,31.0,31.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2006,lotto,2,0,0,1,1,20.0,20.0,2,32,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
2006,marathon sports,1,0,0,0,1,12.0,12.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2006,nike,9,0,2,3,6,13.0,15.0,9,32,1,4,8,16,0.28125,0.0,0.5,0.375,0.375
2006,puma,12,1,1,1,3,19.416666666666668,20.5,12,32,1,4,8,16,0.375,1.0,0.25,0.125,0.1875
2006,umbro,2,0,0,1,1,17.0,17.0,2,32,1,4,8,16,0.0625,0.0,0.0,0.125,0.0625
2010,adidas,12,1,2,4,7,15.083333333333334,15.0,12,32,1,4,8,16,0.375,1.0,0.5,0.5,0.4375
2010,brooks,1,0,0,0,1,10.0,10.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2010,joma,1,0,0,0,0,30.0,30.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2010,legea,1,0,0,0,0,32.0,32.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2010,nike,9,0,1,2,5,14.444444444444445,15.0,9,32,1,4,8,16,0.28125,0.0,0.25,0.25,0.3125
2010,puma,6,0,1,2,2,17.333333333333332,18.0,6,32,1,4,8,16,0.1875,0.0,0.25,0.25,0.125
2010,umbro,1,0,0,0,1,13.0,13.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0625
2010,,1,0,0,0,0,28.0,28.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2014,adidas,9,1,2,3,5,14.444444444444445,16.0,9,32,1,4,8,16,0.28125,1.0,0.5,0.375,0.3125
2014,burrda sports,1,0,0,1,1,6.0,6.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.125,0.0625
2014,joma,1,0,0,0,0,31.0,31.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.0,0.0
2014,lotto,1,0,0,1,1,8.0,8.0,1,32,1,4,8,16,0.03125,0.0,0.0,0.125,0.0625
